"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 19 16:20:38 GMT 2025","Sun Oct 19 16:20:40 GMT 2025","1897","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Oct 19 16:20:29 GMT 2025","Sun Oct 19 16:20:35 GMT 2025","6153","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Oct 19 16:20:34 GMT 2025","Sun Oct 19 16:20:35 GMT 2025","1682","LMS system","Authentication","Authorization","","","Navigation from Login page to Registration page",""
"passed","Sun Oct 19 16:20:21 GMT 2025","Sun Oct 19 16:20:23 GMT 2025","1803","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 19 16:20:45 GMT 2025","Sun Oct 19 16:20:49 GMT 2025","3537","LMS system","Courses","Courses","","","Edit existing course",""
"passed","Sun Oct 19 16:20:25 GMT 2025","Sun Oct 19 16:20:26 GMT 2025","1277","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 19 16:20:42 GMT 2025","Sun Oct 19 16:20:45 GMT 2025","2553","LMS system","Courses","Courses","","","Create new course",""
"passed","Sun Oct 19 16:20:38 GMT 2025","Sun Oct 19 16:20:39 GMT 2025","1262","LMS system","Authentication","Authorization","","","Navigation from Login page to Registration page",""
"passed","Sun Oct 19 16:20:29 GMT 2025","Sun Oct 19 16:20:30 GMT 2025","1554","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 19 16:20:36 GMT 2025","Sun Oct 19 16:20:38 GMT 2025","1901","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Oct 19 16:20:49 GMT 2025","Sun Oct 19 16:20:53 GMT 2025","4344","LMS system","Courses","Courses","","","Edit existing course",""
"passed","Sun Oct 19 16:20:45 GMT 2025","Sun Oct 19 16:20:48 GMT 2025","3066","LMS system","Courses","Courses","","","Create new course",""
"passed","Sun Oct 19 16:20:41 GMT 2025","Sun Oct 19 16:20:42 GMT 2025","1244","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Oct 19 16:20:36 GMT 2025","Sun Oct 19 16:20:37 GMT 2025","1756","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 19 16:20:31 GMT 2025","Sun Oct 19 16:20:33 GMT 2025","1935","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 19 16:20:21 GMT 2025","Sun Oct 19 16:20:24 GMT 2025","3104","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Oct 19 16:20:23 GMT 2025","Sun Oct 19 16:20:24 GMT 2025","1531","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 19 16:20:42 GMT 2025","Sun Oct 19 16:20:44 GMT 2025","1637","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Oct 19 16:20:54 GMT 2025","Sun Oct 19 16:20:56 GMT 2025","2071","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Oct 19 16:20:49 GMT 2025","Sun Oct 19 16:20:51 GMT 2025","2169","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
