"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1428","Check displaying of empty courses list","LMS system","Sun Oct 26 14:33:35 GMT 2025","passed","Sun Oct 26 14:33:36 GMT 2025","Courses","Courses","",""
"","6937","User login with correct email and password","LMS system","Sun Oct 26 14:33:21 GMT 2025","passed","Sun Oct 26 14:33:28 GMT 2025","Authorization","Authentication","",""
"","3359","User login with correct email and password","LMS system","Sun Oct 26 14:33:13 GMT 2025","passed","Sun Oct 26 14:33:17 GMT 2025","Authorization","Authentication","",""
"","1846","Navigation from Login page to Registration page","LMS system","Sun Oct 26 14:33:26 GMT 2025","passed","Sun Oct 26 14:33:28 GMT 2025","Authorization","Authentication","",""
"","1627","User login with wrong email or password","LMS system","Sun Oct 26 14:33:28 GMT 2025","passed","Sun Oct 26 14:33:30 GMT 2025","Authorization","Authentication","",""
"","1927","Check displaying of dashboard page","LMS system","Sun Oct 26 14:33:45 GMT 2025","passed","Sun Oct 26 14:33:47 GMT 2025","Dashboard","Dashboard","",""
"","3796","Edit existing course","LMS system","Sun Oct 26 14:33:40 GMT 2025","passed","Sun Oct 26 14:33:44 GMT 2025","Courses","Courses","",""
"","1944","User login with wrong email or password","LMS system","Sun Oct 26 14:33:13 GMT 2025","passed","Sun Oct 26 14:33:15 GMT 2025","Authorization","Authentication","",""
"","1587","Navigation from Login page to Registration page","LMS system","Sun Oct 26 14:33:30 GMT 2025","passed","Sun Oct 26 14:33:32 GMT 2025","Authorization","Authentication","",""
"","2396","User login with wrong email or password","LMS system","Sun Oct 26 14:33:21 GMT 2025","passed","Sun Oct 26 14:33:23 GMT 2025","Authorization","Authentication","",""
"","1480","Check displaying of empty courses list","LMS system","Sun Oct 26 14:33:33 GMT 2025","passed","Sun Oct 26 14:33:35 GMT 2025","Courses","Courses","",""
"","1973","User login with wrong email or password","LMS system","Sun Oct 26 14:33:24 GMT 2025","passed","Sun Oct 26 14:33:26 GMT 2025","Authorization","Authentication","",""
"","2023","Check displaying of dashboard page","LMS system","Sun Oct 26 14:33:41 GMT 2025","passed","Sun Oct 26 14:33:43 GMT 2025","Dashboard","Dashboard","",""
"","1812","Registration with correct email, username and password","LMS system","Sun Oct 26 14:33:28 GMT 2025","passed","Sun Oct 26 14:33:30 GMT 2025","Registration","Authentication","",""
"","1694","User login with wrong email or password","LMS system","Sun Oct 26 14:33:16 GMT 2025","passed","Sun Oct 26 14:33:17 GMT 2025","Authorization","Authentication","",""
"","2548","Create new course","LMS system","Sun Oct 26 14:33:37 GMT 2025","passed","Sun Oct 26 14:33:39 GMT 2025","Courses","Courses","",""
"","1867","Registration with correct email, username and password","LMS system","Sun Oct 26 14:33:31 GMT 2025","passed","Sun Oct 26 14:33:33 GMT 2025","Registration","Authentication","",""
"","1342","User login with wrong email or password","LMS system","Sun Oct 26 14:33:18 GMT 2025","passed","Sun Oct 26 14:33:19 GMT 2025","Authorization","Authentication","",""
"","2804","Edit existing course","LMS system","Sun Oct 26 14:33:38 GMT 2025","passed","Sun Oct 26 14:33:41 GMT 2025","Courses","Courses","",""
"","2430","Create new course","LMS system","Sun Oct 26 14:33:35 GMT 2025","passed","Sun Oct 26 14:33:37 GMT 2025","Courses","Courses","",""
